client_id,client_reliability_label,transaction_id,contract_id,transaction_date,payment_amt,year,month,day,weekday,entity_year_established,client_reliability,count,days_elapsed
47,perfectClient,180994,10080,30244891704,21083.3,40348,134,348,74,40300,20.0,20,271.0
48,perfectClient,167482,10632,12223530672,13049.939999999999,16144,46,78,38,16136,8.0,8,61.0
49,perfectClient,254169,15330,21343593626,15949.92,28252,58,262,48,28000,14.0,14,150.0
50,perfectClient,159326,10208,12214199314,13049.939999999999,16144,38,212,28,16080,8.0,8,61.0
51,detrimentalClient,121989,7668,27163571412,4349.97,36310,138,290,64,36306,16.2,18,210.0
52,detrimentalClient,13503,1568,6015166398,3801.81,8068,33,75,7,8052,2.0,4,102.0
53,detrimentalClient,393477,22356,45529532238,8436.66,60528,190,550,98,60420,28.125,30,350.0
54,perfectClient,374221,22100,45504994639,18849.899999999998,60528,186,388,108,60450,30.0,30,370.0
55,detrimentalClient,481155,27496,53145406761,22799.93,70618,211,551,112,70560,29.878048780487806,35,346.0
56,detrimentalClient,507659,32328,68171430317,121637.42,90788,294,584,153,90000,42.1875,45,359.0
57,perfectClient,338401,21084,45456596226,18308.239999999998,60524,218,312,94,60000,30.0,30,366.0
58,perfectClient,67509,258,4588813590,1059.4499999999998,6054,18,64,9,6000,3.0,3,45.0
59,perfectClient,93108,6124,6121182908,33050.0,8072,26,56,16,8004,4.0,4,4.0
60,perfectClient,98026,6364,6126194240,22083.370000000003,8072,28,54,18,8008,4.0,4,3.0
61,perfectClient,129773,7938,27175141934,6959.969999999999,36312,126,62,72,36108,18.0,18,243.0
62,perfectClient,223986,13836,18303227088,14983.26,24216,56,142,36,24144,12.0,12,122.0
63,perfectClient,184861,10328,33247767959,58295.0,44382,148,408,86,44286,22.0,22,271.0
64,perfectClient,279054,17480,30382613284,9500.01,40354,124,58,72,40080,20.0,20,242.0
65,detrimentalClient,380904,21528,36515028346,22846.67,48426,146,366,78,48384,20.57142857142857,24,237.0
66,perfectClient,249293,15190,21338236900,31750.02,28252,58,200,56,28000,14.0,14,151.0
67,perfectClient,232227,12672,33315159958,5316.63,44384,144,580,68,44374,22.0,22,303.0
68,perfectClient,139165,8904,9181256026,47883.28,12108,38,108,18,12012,6.0,6,30.0
69,perfectClient,140819,8970,9182638432,47883.28,12108,38,124,20,12030,6.0,6,30.0
70,detrimentalClient,70261,5652,27084962166,6899.94,36306,162,116,64,36108,13.5,18,144.0
71,perfectClient,95676,6280,6123774980,33050.0,8072,28,26,18,8024,4.0,4,3.0
72,detrimentalClient,261181,13832,39353571580,13704.08,52454,166,530,64,52104,22.533333333333335,26,301.0
73,perfectClient,255292,15968,24350264118,16916.579999999998,32288,58,60,62,32160,16.0,16,181.0
74,perfectClient,325721,18564,39434960488,17430.0,52456,172,558,82,52260,26.0,26,331.0
75,perfectClient,91043,5390,21119983082,6591.620000000001,28240,116,286,50,28168,14.0,14,182.0
76,detrimentalClient,222037,10488,34804138378,2309.96,46402,141,407,63,46000,18.892857142857142,23,233.0
77,perfectClient,178298,10060,30243509264,3833.2999999999997,40348,134,332,72,40220,20.0,20,272.0
78,detrimentalClient,499827,29198,39672935140,18349.92,52468,127,314,57,52234,17.333333333333332,26,121.0
79,perfectClient,395989,24992,51524571156,40931.700000000004,68596,222,424,110,68272,34.0,34,379.0
80,perfectClient,218142,13584,18296142213,29816.690000000002,24216,56,60,24,24000,12.0,12,120.0
81,perfectClient,289193,17754,33393085496,47150.0,44388,142,84,88,44132,22.0,22,272.0
82,perfectClient,233265,14742,21318703110,15949.92,28252,44,398,40,28182,14.0,14,151.0
83,perfectClient,192777,9744,31760758739,13895.8,42366,140,211,86,42273,21.0,21,307.0
84,perfectClient,3433,208,3002876242,190.0,4034,14,60,12,4012,2.0,2,0.0
85,perfectClient,137425,8802,9179700880,26113.62,12108,38,90,28,12000,6.0,6,31.0
86,perfectClient,208277,12650,15276518706,41750.0,20180,52,230,42,20150,10.0,10,90.0
87,perfectClient,210697,12320,33286820852,7443.260000000001,44384,144,252,76,44330,22.0,22,305.0
88,detrimentalClient,148559,13608,31698719783,12166.7,42362,157,433,68,42336,14.7,21,181.0
89,perfectClient,303976,18200,30411471008,16980.0,40354,124,392,56,40280,20.0,20,242.0
90,detrimentalClient,105028,30,15139214662,5367.0,20173,86,157,21,20150,8.333333333333334,10,257.0
91,perfectClient,279707,17318,39374653558,25616.66,52454,176,468,84,52104,26.0,26,329.0
92,perfectClient,376324,23168,48507330829,57254.049999999996,64564,176,434,114,64000,32.0,32,370.0
93,detrimentalClient,737896,27810,82001597887,9421.3,108955,312,790,113,108000,44.861538461538466,54,339.0
94,detrimentalClient,335661,19084,39452067786,15269.880000000001,52458,158,450,56,52000,24.142857142857142,26,304.0
95,perfectClient,141537,9012,9183329486,35950.0,12108,38,132,28,12012,6.0,6,31.0
96,perfectClient,283356,17520,30387451703,11370.0,40354,124,114,44,40080,20.0,20,241.0
97,perfectClient,206243,12298,33278353546,21266.63,44384,142,216,76,44132,22.0,22,305.0
98,perfectClient,245317,15496,39331107606,10950.0,52454,170,148,70,52286,26.0,26,333.0
99,detrimentalClient,365550,21482,48487473027,24029.88,64560,212,574,108,64352,30.11764705882353,32,377.0
100,detrimentalClient,181051,10582,33246896760,2126.6299999999997,44382,154,214,76,44242,20.166666666666664,22,271.0
101,detrimentalClient,331602,20188,48442027020,84075.38,64560,204,290,114,64416,28.444444444444443,32,353.0
102,perfectClient,354422,21326,42474988900,31050.04,56492,186,318,118,56364,28.0,28,344.0
103,detrimentalClient,330709,20086,33449936795,4083.3399999999997,44390,128,434,60,44308,20.166666666666664,22,240.0
104,perfectClient,2825,72,3001666628,1833.3300000000002,4034,14,46,12,4004,2.0,2,0.0
105,detrimentalClient,140228,6840,36182035204,10250.0,48408,232,460,32,48192,15.157894736842104,24,117.0
106,perfectClient,183,32,2998037768,840.0,4034,14,4,12,4028,2.0,2,0.0
107,perfectClient,178010,11136,12233552876,13049.939999999999,16144,46,194,28,16032,8.0,8,60.0
108,perfectClient,164330,10496,12219556128,38850.0,16144,46,32,20,16128,8.0,8,61.0
109,detrimentalClient,134231,9174,33178129584,2108.2599999999998,44378,172,328,78,44110,17.285714285714285,22,203.0
110,detrimentalClient,426910,22928,54573750445,7880.0,72632,228,532,112,72540,30.857142857142854,36,361.0
111,perfectClient,2460,192,5998840382,3666.6600000000003,8068,28,40,14,8004,4.0,4,12.0
112,detrimentalClient,121689,240,36153447930,3790.42,48409,212,374,51,48192,21.333333333333332,24,188.0
113,perfectClient,346448,20864,42463231168,59483.28,56492,176,488,108,56168,28.0,28,368.0
114,perfectClient,3533,200,3002876244,670.83,4034,14,60,12,4020,2.0,2,0.0
115,detrimentalClient,341996,19768,42459602256,20993.2,56492,172,564,94,56224,26.133333333333333,28,342.0
116,perfectClient,306342,18400,30413544486,26330.010000000002,40354,124,416,66,40200,20.0,20,243.0
117,detrimentalClient,65677,3780,21081974368,3990.0,28238,126,274,30,28210,9.799999999999999,14,89.0
118,perfectClient,240235,14938,21327868750,15949.92,28252,58,80,20,28000,14.0,14,150.0
119,perfectClient,285290,17620,30390907808,3890.0099999999998,40354,124,154,70,40020,20.0,20,243.0
120,perfectClient,276778,18024,36372468311,11866.68,48420,160,478,66,48192,24.0,24,358.0
121,perfectClient,7206,584,6005925292,1493.32,8068,30,60,12,8044,4.0,4,29.0
122,perfectClient,15037,1164,9015195236,5700.0,12102,48,70,14,12072,6.0,6,62.0
123,perfectClient,214336,13464,18292167730,7566.6900000000005,24216,50,192,34,24168,12.0,12,123.0
124,detrimentalClient,22608,1336,12024464980,4180.0,16136,66,80,30,16088,6.4,8,65.0
125,perfectClient,129643,8490,9171751960,12083.279999999999,12108,34,120,20,12108,6.0,6,29.0
126,detrimentalClient,11120,837,13505598989,1335.81,18153,63,185,18,18063,7.363636363636364,9,7.0
127,perfectClient,285927,17420,39383293338,10950.0,52454,172,690,72,52390,26.0,26,330.0
128,perfectClient,189564,12106,12245994524,16285.050000000001,16144,52,154,32,16064,8.0,8,29.0
129,perfectClient,322289,20028,45433613776,13866.64,60524,210,290,122,60420,30.0,30,367.0
130,detrimentalClient,470375,26418,53132014702,17219.88,70616,227,645,118,70245,28.488372093023255,35,343.0
131,perfectClient,329019,18850,39439798872,10950.0,52456,172,614,82,52338,26.0,26,330.0
132,detrimentalClient,389760,23096,48527382670,25537.5,64562,204,548,108,64352,28.444444444444443,32,332.0
133,perfectClient,292689,17732,39394698136,21749.88,52456,172,92,106,52000,26.0,26,333.0
134,perfectClient,13506,4,1519060102,0.01,2018,2,19,0,2006,1.0,1,0.0
135,perfectClient,28390,1944,12032925048,7600.0,16136,68,118,30,16056,8.0,8,90.0
136,perfectClient,304308,18048,36412903748,10420.800000000001,48422,158,276,72,48288,24.0,24,302.0
137,perfectClient,52629,3120,15066725132,9104.15,20170,90,290,36,20130,10.0,10,120.0
138,perfectClient,233801,14812,21319221576,15949.92,28252,46,342,32,28210,14.0,14,149.0
139,detrimentalClient,318856,19220,30433942297,37399.98,40356,112,290,64,40300,18.18181818181818,20,214.0
140,perfectClient,313997,18590,33422980012,43416.56,44388,142,430,70,44330,22.0,22,273.0
141,perfectClient,208253,12630,15276518706,41750.0,20180,52,230,42,20160,10.0,10,90.0
142,detrimentalClient,351747,20416,33474481496,15883.34,44390,136,478,78,44000,20.166666666666664,22,236.0
143,perfectClient,349221,22362,45475769582,15964.54,60528,168,586,106,60240,30.0,30,335.0
144,perfectClient,285234,17376,42378566300,53890.0,56488,184,724,94,56000,28.0,28,343.0
145,perfectClient,428757,26376,51569671708,23382.75,68596,230,698,114,68544,34.0,34,343.0
146,detrimentalClient,349355,21684,45471284120,19500.0,60524,216,542,96,60120,28.125,30,347.0
147,perfectClient,74741,4998,21097519110,3354.19,28240,116,26,42,28070,14.0,14,181.0
148,perfectClient,249673,15232,21338928037,15949.92,28252,58,208,50,28210,14.0,14,151.0
149,detrimentalClient,338348,18984,42454080054,15946.54,56492,186,76,86,56308,26.133333333333333,28,339.0
150,perfectClient,63530,3936,18082208441,4024.9800000000005,24204,114,190,54,24000,12.0,12,152.0
151,perfectClient,205401,12560,15273754040,14016.599999999999,20180,52,198,38,20120,10.0,10,90.0
152,perfectClient,203711,12460,15272198844,14016.599999999999,20180,52,180,34,20150,10.0,10,91.0
153,perfectClient,113386,6864,24152919250,3833.28,32276,120,264,60,32240,16.0,16,215.0
154,perfectClient,100264,6436,6128267704,22083.370000000003,8072,28,78,14,8064,4.0,4,4.0
155,perfectClient,176196,9880,30239707859,9000.0,40348,134,288,70,40220,20.0,20,272.0
156,perfectClient,235612,13992,36317517798,5800.04,48418,158,634,74,48336,24.0,24,329.0
157,perfectClient,159342,10216,12214199314,13049.939999999999,16144,38,212,28,16024,8.0,8,61.0
158,perfectClient,277732,16656,24374974524,23623.350000000002,32288,58,346,54,32176,16.0,16,181.0
159,detrimentalClient,433390,26264,50085513728,29008.2,66582,202,416,91,66000,25.928571428571427,33,331.0
160,perfectClient,65037,8062,21082320178,10883.36,28238,130,154,48,28140,14.0,14,108.0
161,perfectClient,306001,18326,33415549564,11950.0,44388,142,344,82,44286,22.0,22,273.0
162,perfectClient,215246,13560,18293031742,14983.26,24216,56,24,44,24096,12.0,12,122.0
163,perfectClient,355419,21816,45479751450,39304.130000000005,60528,182,220,96,59970,30.0,30,370.0
164,perfectClient,4760,1904,6002469234,6619.63,8068,30,20,14,8032,4.0,4,23.0
165,perfectClient,431239,26984,51576929339,60499.95,68598,208,726,114,68204,34.0,34,340.0
166,perfectClient,446399,26882,51589363934,101183.98,68596,236,746,90,68000,34.0,34,358.0
167,perfectClient,373846,23924,48500786092,34816.780000000006,64562,208,122,122,64352,32.0,32,370.0
168,detrimentalClient,191111,12600,45252519366,7187.55,60516,230,496,84,60390,20.454545454545453,30,203.0
169,perfectClient,118898,6912,24159658488,3833.36,32276,120,342,54,32208,16.0,16,210.0
170,detrimentalClient,168995,10252,33229624088,2635.2700000000004,44382,152,74,72,44308,20.166666666666664,22,271.0
171,perfectClient,281185,17688,33381335060,25716.559999999998,44386,146,554,64,44330,22.0,22,271.0
172,perfectClient,66508,4044,18085664467,3450.0,24204,114,230,38,24192,12.0,12,151.0
173,detrimentalClient,222757,13460,15291898010,41750.0,20180,60,166,24,20090,8.333333333333334,10,67.0
174,perfectClient,241117,15036,21330460855,1729.92,28252,58,110,50,28210,14.0,14,151.0
175,perfectClient,129103,8424,9171060696,6116.7,12108,32,174,12,12006,6.0,6,31.0
176,perfectClient,255975,16068,39344758964,17349.96,52454,170,306,88,52000,26.0,26,334.0
177,detrimentalClient,646741,32922,62352409995,40546.52,82724,282,686,127,82369,31.12962962962963,41,344.0
178,perfectClient,50835,3274,3064738574,20100.04,4036,14,46,0,4028,2.0,2,0.0
179,perfectClient,907,74,2999247384,560.0,4034,14,18,12,4014,2.0,2,0.0
180,perfectClient,93427,5474,21122920703,6708.31,28240,116,320,42,28000,14.0,14,181.0
181,perfectClient,96424,6288,6124811840,22083.370000000003,8072,28,38,16,8068,4.0,4,3.0
182,perfectClient,400342,24316,48531199206,46848.37,64562,214,292,110,64256,32.0,32,347.0
183,perfectClient,39389,2910,15048235566,2395.8,20170,90,76,32,20030,10.0,10,119.0
184,perfectClient,269748,16480,24366680210,16916.579999999998,32288,58,250,56,32016,16.0,16,180.0
185,perfectClient,93092,6100,6121182908,44016.62,8072,26,56,16,8016,4.0,4,4.0
186,perfectClient,281196,17134,42374246263,22503.21,56488,184,674,86,56308,28.0,28,340.0
187,perfectClient,187743,11920,15254040320,7083.36,20180,42,276,34,20120,10.0,10,91.0
188,perfectClient,283849,17368,39380355670,15269.880000000001,52454,170,718,94,52312,26.0,26,333.0
189,perfectClient,332004,20398,42446642356,9391.64,56492,174,352,98,56392,28.0,28,376.0
190,detrimentalClient,366817,17279,55992654894,25831.940000000002,74644,265,506,122,74555,24.44642857142857,37,322.0
191,detrimentalClient,12943,852,9011739186,2849.9700000000003,12102,46,92,16,12018,4.5,6,38.0
192,detrimentalClient,115400,7605,7650355427,29795.27,10090,30,132,7,10000,4.166666666666667,5,2.0
193,perfectClient,321214,20008,42434193559,67399.97,56492,164,508,94,56196,28.0,28,346.0
194,perfectClient,311712,19460,42420203816,47633.22,56490,192,230,100,56280,28.0,28,340.0
195,perfectClient,413291,26782,51546343755,88397.36,68596,218,800,110,68408,34.0,34,363.0
196,perfectClient,21984,1832,12024112136,1916.64,16136,68,16,26,16088,8.0,8,91.0
197,perfectClient,6360,548,6004888472,580.0,8068,30,48,14,8036,4.0,4,33.0
198,perfectClient,65892,4008,18084973266,4599.96,24204,114,222,30,24168,12.0,12,151.0
199,detrimentalClient,320409,5664,48432342768,6122.34,64558,217,512,79,64000,24.975609756097562,32,313.0
200,perfectClient,16725,1230,9017959882,1437.48,12102,48,102,18,12066,6.0,6,61.0
201,perfectClient,2081,116,3000629810,665.0,4034,14,34,0,4018,2.0,2,0.0
202,perfectClient,219302,13644,18297006166,44650.0,24216,56,70,20,24144,12.0,12,121.0
203,perfectClient,12543,1104,9011566380,5599.9800000000005,12102,48,28,14,12072,6.0,6,62.0
204,perfectClient,198627,12290,15267187688,14016.599999999999,20180,52,122,32,20000,10.0,10,91.0
205,detrimentalClient,369371,19856,51502258044,18126.61,68596,204,706,76,68000,26.272727272727273,34,312.0
206,perfectClient,63,40,2998037764,282.5,4034,14,4,12,4030,2.0,2,0.0
207,perfectClient,207993,12620,15276518698,27883.36,20180,52,230,42,20160,10.0,10,90.0
208,detrimentalClient,352283,25668,54482382214,50826.66,72630,214,615,84,72576,23.563636363636363,36,211.0
209,detrimentalClient,431315,25430,57580572200,32593.32,76666,246,516,128,76532,28.88,38,362.0
210,perfectClient,197235,12210,15265114080,41750.0,20180,52,98,22,20000,10.0,10,91.0
211,detrimentalClient,49114,3164,21056846758,5243.48,28238,118,227,26,28112,10.31578947368421,14,112.0
212,perfectClient,159750,10232,12214544922,13049.939999999999,16144,38,216,32,16064,8.0,8,61.0
213,perfectClient,277408,16688,24374974513,16916.579999999998,32288,58,346,54,32208,16.0,16,181.0
214,perfectClient,322184,18936,36433639234,10466.67,48422,158,516,88,48336,24.0,24,301.0
215,perfectClient,288316,17526,42386342256,5736.54,56490,170,508,58,56140,28.0,28,363.0
216,perfectClient,385834,24025,50015594484,56728.74,66576,240,640,101,66528,33.0,33,377.0
217,perfectClient,2955,162,3001839430,855.0,4034,14,48,0,4032,2.0,2,0.0
218,perfectClient,323224,18864,36433639266,22846.67,48422,158,516,88,48000,24.0,24,301.0
219,perfectClient,298099,17810,39402128709,15269.880000000001,52456,172,178,80,52416,26.0,26,334.0
220,detrimentalClient,2453,33,4499907901,197.5,6051,21,39,9,6009,2.25,3,14.0
221,perfectClient,287623,17842,33393085452,9983.34,44388,142,84,88,44132,22.0,22,273.0
222,perfectClient,95705,5530,21127240710,6708.31,28240,116,370,50,28056,14.0,14,184.0
223,perfectClient,130559,8010,27176524340,4349.97,36312,126,78,60,36000,18.0,18,241.0
224,detrimentalClient,427901,27314,53069986655,89067.26000000001,70615,221,479,121,70105,34.02777777777778,35,375.0
225,perfectClient,269903,16992,27369376315,32070.0,36320,104,64,66,36000,18.0,18,211.0
226,detrimentalClient,401510,26838,50040931208,18164.7,66580,207,480,114,66462,32.029411764705884,33,364.0
227,perfectClient,324672,20146,42439557446,16732.48,56490,194,394,72,56140,28.0,28,336.0
228,perfectClient,310085,18326,39416125402,51249.85,52456,172,340,74,52364,26.0,26,356.0
229,detrimentalClient,114792,7120,30150542890,7200.0,40342,178,108,46,40280,15.384615384615385,20,176.0
230,perfectClient,8070,612,6007307712,360.0,8068,30,76,14,8032,4.0,4,33.0
231,detrimentalClient,582892,26300,75790112605,7044.64,100878,311,736,102,100800,32.89473684210527,50,315.0
232,perfectClient,209025,12700,15277209888,14016.599999999999,20180,52,238,22,20120,10.0,10,90.0
233,detrimentalClient,107422,2730,31637732271,1235.0,42359,173,337,34,42105,19.173913043478258,21,198.0
234,perfectClient,292837,17784,27395987492,14336.68,36320,104,372,66,36000,18.0,18,212.0
235,perfectClient,178516,11152,12233898486,25950.030000000002,16144,46,198,32,16120,8.0,8,60.0
236,perfectClient,132479,8100,27179634742,2808.9,36312,126,114,54,36288,18.0,18,242.0
237,detrimentalClient,451395,23732,51607673671,15430.0,68600,202,532,92,68102,27.523809523809526,34,325.0
238,perfectClient,1665,110,3000457002,188.32999999999998,4034,14,32,12,4034,2.0,2,0.0
239,detrimentalClient,355508,20650,42477926357,61587.44,56492,178,602,82,56000,26.133333333333333,28,352.0
240,perfectClient,95106,6228,6123429374,21881.7,8072,28,22,14,7996,4.0,4,5.0
241,detrimentalClient,348131,21380,43970720930,39821.94,58510,181,283,86,58029,28.033333333333335,29,347.0
242,perfectClient,138869,8898,9181256018,6116.7,12108,38,108,18,12024,6.0,6,30.0
243,perfectClient,284353,17424,27386483636,35616.68,36320,104,262,68,36108,18.0,18,213.0
244,detrimentalClient,323508,17216,48439269456,7733.280000000001,64558,214,682,82,64256,23.272727272727273,32,261.0
245,detrimentalClient,81312,4736,24103851373,3833.28,32272,150,246,52,32144,11.636363636363637,16,120.0
246,perfectClient,98960,6396,6127231036,33050.0,8072,28,66,16,8048,4.0,4,3.0
247,perfectClient,307983,18370,33417795972,9983.34,44388,142,370,66,44330,22.0,22,272.0
248,detrimentalClient,333562,27,40948051667,1390.0,54474,176,451,62,54405,23.516129032258064,27,369.0
249,perfectClient,95444,6244,6123602178,44016.62,8072,28,24,16,8060,4.0,4,4.0
250,perfectClient,251519,15808,39340266092,4323.0,52454,170,254,92,52390,26.0,26,335.0
251,perfectClient,279014,17460,30382613284,9500.01,40354,124,58,72,40320,20.0,20,242.0
252,perfectClient,193787,12100,15261312412,67933.36,20180,52,54,20,20000,10.0,10,90.0
253,perfectClient,2005,104,3000457009,2312.5,4034,14,32,12,4020,2.0,2,0.0
254,detrimentalClient,485948,27756,54652374526,74533.3,72634,234,530,112,72000,29.454545454545457,36,349.0
255,perfectClient,241837,15210,39324541202,53899.799999999996,52454,170,72,92,52000,26.0,26,333.0
256,perfectClient,215726,13536,18293031752,44650.0,24216,56,24,44,24060,12.0,12,122.0
257,detrimentalClient,180899,16647,46737361612,8600.51,62528,290,549,101,62248,18.48076923076923,31,154.0
258,detrimentalClient,240133,10350,45326794249,18687.449999999997,60516,258,502,76,60360,18.75,30,147.0
259,perfectClient,192225,11844,31761791773,12405.0,42366,137,314,70,42294,21.0,21,259.0
260,perfectClient,373083,22984,45499464794,8726.66,60528,176,628,72,60240,30.0,30,383.0
261,perfectClient,267922,16432,24365297818,8533.35,32288,58,234,54,32240,16.0,16,181.0
262,perfectClient,278173,17136,27380262851,17883.239999999998,36320,104,190,66,36036,18.0,18,212.0
263,detrimentalClient,172961,10494,33234289660,5270.76,44382,150,190,84,44066,20.166666666666664,22,270.0
264,perfectClient,7490,600,6006098098,3800.0,8068,30,62,14,8028,4.0,4,30.0
265,perfectClient,299824,18180,30406805416,22590.0,40354,124,338,72,40240,20.0,20,241.0
266,perfectClient,2846,272,5999531592,570.0,8068,28,48,8,8056,4.0,4,12.0
267,perfectClient,819,66,2999247382,282.5,4034,14,18,12,4000,2.0,2,0.0
268,perfectClient,287784,18060,36388200335,13605.720000000001,48422,148,296,80,48384,24.0,24,353.0
269,perfectClient,19269,1308,9021243124,3135.0,12102,48,140,28,12096,6.0,6,62.0
270,perfectClient,279159,17030,39373616452,21749.88,52454,170,640,86,52182,26.0,26,333.0
271,detrimentalClient,7891,318,9004654270,840.0,12102,42,134,18,12042,3.5999999999999996,6,7.0
272,perfectClient,140731,8988,9182638430,24016.7,12108,38,124,20,12030,6.0,6,30.0
273,perfectClient,137633,8850,9179873630,24016.7,12108,38,92,30,12030,6.0,6,31.0
274,perfectClient,280135,17226,27381818074,34150.04,36320,104,208,56,36144,18.0,18,212.0
275,perfectClient,278091,18048,39377576370,77513.4,52456,150,558,76,52286,26.0,26,301.0
276,perfectClient,298278,18060,30404904606,28200.0,40354,124,316,78,40220,20.0,20,242.0
277,perfectClient,386056,24430,48511153879,97646.6,64562,208,242,116,64416,32.0,32,383.0
278,detrimentalClient,65476,6440,34570563405,22428.45,46391,186,352,54,46322,13.921052631578947,23,115.0
279,detrimentalClient,344164,16260,45468188032,2978.29,60528,168,509,53,60480,21.95121951219512,30,326.0
280,detrimentalClient,378361,20400,51515750950,17976.52,68598,198,318,120,68476,27.523809523809526,34,324.0
281,detrimentalClient,163747,10464,36214867629,6540.54,48410,225,322,69,48360,15.157894736842104,24,311.0
282,perfectClient,349487,21568,45474567308,16035.37,60528,174,396,120,60030,30.0,30,357.0
283,detrimentalClient,821902,42282,70094255528,76907.64,92820,275,821,101,92000,31.117647058823533,46,243.0
284,perfectClient,315361,19224,39424246999,25374.989999999998,52456,172,434,84,52260,26.0,26,351.0
285,detrimentalClient,374782,20820,48496466019,46066.54,64560,212,680,100,64384,30.11764705882353,32,365.0
286,perfectClient,356391,26580,51478246163,50153.54,68596,202,492,120,68408,34.0,34,364.0
287,perfectClient,295588,17900,30401448681,41289.899999999994,40354,124,276,66,40020,20.0,20,242.0
288,perfectClient,166398,10464,12221457000,38850.0,16144,46,54,14,16120,8.0,8,76.0
